fmc_loc,fmc_pin_name,fmc_io_standard,fpga_port_name,fpga_pin,,
C1,,,,,,
C2,,,,F2,,
C3,,,,F1,,
C4,,,,,,
C5,,,,,,
C6,,,,G4,,
C7,,,,G3,,
C8,,,,,,
C9,,,,,,
C10,CHA_10_P,LVDS,i_da10_p,C19,,
C11,CHA_10_N,LVDS,i_da10_n,B19,,
C12,,,,,,
C13,,,,,,
C14,CHB_04_P,LVDS,i_db4_p,B17,,
C15,CHB_04_N,LVDS,i_db4_n,A17,,
C16,,,,,,
C17,,,,,,
C18,CHB_12_P,LVDS,i_db12_p,H16,,
C19,CHB_12_N,LVDS,i_db12_n,G16,,
C20,,,,,,
C21,,,,,,
C22,DAC_D6_P,LVDS,i_db6_p,F17,,
C23,DAC_D6_N,LVDS,i_db6_n,E17,,
C24,,,,,,
C25,,,,,,
C26,MON_N_EN,LVCMOS25,,D9,,
C27,MON_N_RESET,LVCMOS25,,D8,,
C28,,,,,,
C29,,,,,,
C30,I2C_SCL,LVCMOS25,,,,to check
C31,i2C_SDA,LVCMOS25,,,,to check
C32,,,,,,
C33,,,,,,
C34,GA0,,,,,
C35,12V,,,,,
C36,,,,,,
C37,12V,,,,,
C38,,,,,,
C39,"3,3V",,,,,
C40,,,,,,
