fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin;comment
E1;;;;;
E2;o_CLK_REF_P;LVDS25;o_clk_ref_p;Y23;
E3;o_CLK_REF_N;LVDS25;o_clk_ref_n;AA24;
E4;;;;;
E5;;;;;
E6;o_CLK_FRAME_P;LVDS25;o_clk_frame_p;W23;
E7;o_CLK_FRAME_N;LVDS25;o_clk_frame_n;W24;
E8;;;;;
E9;i_hardware_id_06;LVCMOS25;i_hardware_id[06];AD26;
E10;i_hardware_id_07;LVCMOS25;i_hardware_id[07];AE26;
E11;;;;;
E12;o_spy_14;LVCMOS25;o_spy[14];Y25;
E13;o_spy_15;LVCMOS25;o_spy[15];Y26;
E14;;;;;
E15;;;;U26;
E16;;;;V26;
E17;;;;;
E18;;;;U22;
E19;;;;V22;
E20;;;;;
E21;;;;V16;
E22;;;;V17;
E23;;;;;
E24;;;;V14;
E25;;;;W14;
E26;;;;;
E27;;;;AA19;
E28;;;;AA20;
E29;;;;;
E30;;;;AB14;
E31;;;;AB15;
E32;;;;;
E33;;;;AC19;
E34;;;;AD19;
E35;;;;;
E36;;;;AE18;
E37;;;;AF18;
E38;;;;;
E39;;;;;
E40;;;;;
