fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin;comment
J1;;;;;
J2;;;;AB16;
J3;;;;AC16;
J4;;;;;
J5;;;;;
J6;o_spy_00;LVCMOS25;o_spy[00];AD23;
J7;o_spy_01;LVCMOS25;o_spy[01];AD24;
J8;;;;;
J9;o_spy_04;LVCMOS25;o_spy[04];AD25;
J10;o_spy_05;LVCMOS25;o_spy[05];AE25;
J11;;;;;
J12;o_spy_08;LVCMOS25;o_spy[08];AA25;
J13;o_spy_09;LVCMOS25;o_spy[09];AB25;
J14;;;;;
J15;LED_FW;LVCMOS25;o_led_fw;V23;
J16;LED_PLL_Lock;LVCMOS25;o_led_pll_lock;V24;
J17;;;;;
J18;i_spare_00_P;LVDS25;;AD21;
J19;i_spare_00_N;LVDS25;;AE21;
J20;;;;;
J21;i_spare_02_P;LVDS25;;V21;
J22;i_spare_02_N;LVDS25;;W21;
J23;;;;;
J24;;;;Y17;
J25;;;;Y18;
J26;;;;;
J27;;;;W15;
J28;;;;W16;
J29;;;;;
J30;;;;AA14;
J31;;;;AA15;
J32;;;;;
J33;;;;AB19;
J34;;;;AB20;
J35;;;;;
J36;;;;AD20;
J37;;;;AE20;
J38;;;;;
J39;;;;;
J40;;;;;
