offset_addr_uint14_t;data_int16_t
0;25063
1;25644
2;21266
3;-12410
4;-22668
5;-27816
6;18600
7;-18035
8;-17162
9;14303
10;-4404
11;6568
12;-626
13;-9538
14;-13063
15;-19654
16;20941
17;31712
18;-21549
19;10114
20;23319
21;8894
22;18887
23;-125
24;22648
25;28382
26;13746
27;25794
28;-10101
29;4831
30;5293
31;-992
32;-9116
33;818
34;6403
35;-10270
36;-7324
37;10936
38;1296
39;4002
40;-13542
41;32439
42;-12212
43;30555
44;27928
45;23214
46;-22861
47;5063
48;29118
49;-12214
50;-7624
51;7996
52;-19885
53;-3556
54;14755
55;21375
56;-22575
57;-20003
58;-12691
59;4847
60;20218
61;-19297
62;6629
63;5100
64;-23953
65;572
66;29763
67;-22587
68;-12841
69;28510
70;11717
71;6691
72;15208
73;-27537
74;-27968
75;-23652
76;-11834
77;-31528
78;7671
79;12412
80;-1025
81;-25912
82;-16166
83;5006
84;6304
85;6841
86;27682
87;4969
88;-10001
89;-26917
90;-7376
91;-21353
92;-19939
93;-15543
94;-4598
95;30756
96;12285
97;-20339
98;19727
99;-1708
100;6548
101;-28508
102;28119
103;-6409
104;-15593
105;-8498
106;143
107;-25954
108;-17228
109;11341
110;15138
111;7046
112;-14102
113;-4609
114;6684
115;-28017
116;-16054
117;13578
118;-26517
119;31672
120;27887
121;-8611
122;23031
123;11877
124;31515
125;-19161
126;-147
127;-18193
128;-30333
129;-21262
130;9381
131;-20880
132;-30557
133;-20780
134;3960
135;-28334
136;-24980
137;14715
138;26591
139;-14530
140;-11987
141;-21904
142;9166
143;19307
144;22263
145;14658
146;-24341
147;-15724
148;4866
149;14942
150;28830
151;-30928
152;-9579
153;17872
154;10769
155;23008
156;6308
157;6064
158;27938
159;5293
160;21608
161;-25810
162;-7130
163;2785
164;16853
165;19634
166;-8750
167;-23166
168;12906
169;-4638
170;-16549
171;-16588
172;15781
173;32360
174;18698
175;-23872
176;19807
177;-17748
178;-24915
179;20433
180;-29895
181;26650
182;-14065
183;13070
184;-16508
185;6842
186;22869
187;580
188;-13175
189;-7090
190;-32613
191;-7255
192;23749
193;-30192
194;27120
195;31938
196;-15362
197;8224
198;-17572
199;-32045
200;14342
201;27983
202;-4906
203;23283
204;-5701
205;32282
206;-22018
207;3542
208;27882
209;-728
210;396
211;12008
212;5280
213;-31929
214;-22285
215;-15714
216;15157
217;-1641
218;-28632
219;-19814
220;-2235
221;-2640
222;-26306
223;30748
224;-17330
225;5615
226;15730
227;-28815
228;5741
229;-27219
230;28685
231;271
232;13714
233;2056
234;10913
235;-17185
236;-27077
237;-5526
238;19614
239;-12256
240;-12159
241;-18461
242;-7524
243;21388
244;-31068
245;-6378
246;-24914
247;-26495
248;1065
249;-27230
250;13469
251;23749
252;-25722
253;12050
254;-27197
255;16215
256;-30540
257;-22727
258;-12978
259;28209
260;-26731
261;16874
262;3238
263;-3520
264;21837
265;-507
266;30468
267;-7148
268;31635
269;-5241
270;-15900
271;21825
272;-11275
273;3981
274;-14418
275;-10575
276;-18827
277;-22678
278;-15201
279;-9861
280;17968
281;-2057
282;23756
283;20451
284;-5600
285;-23156
286;25234
287;4099
288;22358
289;-28126
290;28184
291;-6912
292;8356
293;-31286
294;27399
295;-19983
296;13215
297;29895
298;-588
299;774
300;9350
301;-18897
302;2062
303;-5873
304;-4470
305;-25722
306;23010
307;4362
308;11302
309;-5340
310;-32567
311;15258
312;32275
313;13204
314;12106
315;-19130
316;-21428
317;-4878
318;18992
319;20712
320;-23615
321;1445
322;12435
323;-16772
324;-5484
325;25821
326;1619
327;29208
328;-27517
329;32103
330;-10698
331;-5728
332;17238
333;-30986
334;-760
335;28516
336;-13753
337;-7564
338;-20178
339;-17885
340;-22665
341;-2851
342;-27294
343;5946
344;29960
345;12977
346;27100
347;-16018
348;9249
349;4969
350;3188
351;27971
352;-5164
353;25677
354;-3017
355;23160
356;-3232
357;16053
358;-11127
359;13919
360;-31209
361;4561
362;-11936
363;-25292
364;-28717
365;-29792
366;-7862
367;-18526
368;-30642
369;25469
370;13963
371;-4129
372;1761
373;17698
374;20461
375;7103
376;-18204
377;2620
378;-23981
379;-28474
380;-19396
381;-17738
382;9874
383;-25950
384;6322
385;21934
386;3497
387;-22378
388;-7021
389;-21294
390;29831
391;14784
392;-8114
393;5857
394;18199
395;-9609
396;-10354
397;-23834
398;-31268
399;24328
400;-4449
401;8233
402;11796
403;24030
404;-12296
405;18994
406;15906
407;11820
408;30751
409;20283
410;23728
411;-30201
412;21412
413;-23918
414;30377
415;27746
416;27141
417;-17470
418;-13868
419;27296
420;-31223
421;26709
422;-24323
423;8910
424;7729
425;-6272
426;19008
427;1281
428;-5411
429;1632
430;-12756
431;9028
432;-22663
433;14243
434;9136
435;-17824
436;-29024
437;22743
438;9077
439;-8919
440;13577
441;10283
442;-1103
443;22668
444;-7046
445;-18391
446;-24019
447;-1617
448;5457
449;-8255
450;32259
451;26778
452;18151
453;26753
454;30633
455;27379
456;22376
457;-31372
458;-14191
459;-76
460;20054
461;-9837
462;-23490
463;-11510
464;-9619
465;32646
466;-10262
467;5546
468;24308
469;27739
470;-28936
471;29672
472;-26303
473;30631
474;28708
475;14098
476;14658
477;11667
478;-1395
479;27279
480;-20978
481;15474
482;-8493
483;-20458
484;-23868
485;-15561
486;-429
487;-12488
488;29014
489;-27017
490;-10404
491;-1805
492;21187
493;-21591
494;9643
495;13078
496;28681
497;-1192
498;-23310
499;-7511
500;-25603
501;7356
502;27722
503;-20487
504;-14594
505;6311
506;-31845
507;-31092
508;12017
509;-3549
510;7243
511;26515
512;3550
513;-8731
514;-2477
515;16363
516;1251
517;-25833
518;-788
519;878
520;25880
521;-12685
522;24927
523;3797
524;28214
525;-5993
526;-31607
527;-15609
528;1121
529;-19909
530;12538
531;19499
532;10462
533;-20951
534;32609
535;-514
536;-12279
537;7969
538;5018
539;14896
540;26275
541;-850
542;-12659
543;1588
544;-21862
545;-5903
546;31915
547;29262
548;28378
549;-29768
550;14870
551;15051
552;-6494
553;-18119
554;26568
555;23728
556;-5527
557;-29980
558;2326
559;-12684
560;-29883
561;1072
562;-3382
563;13674
564;-32736
565;-14383
566;-28397
567;-1340
568;-24710
569;-31184
570;7529
571;-31274
572;-4607
573;7511
574;-17736
575;-23015
576;21587
577;22476
578;-26710
579;-31316
580;-22034
581;-7160
582;-7366
583;11170
584;-4204
585;7304
586;15110
587;-30980
588;-593
589;29992
590;-15497
591;-20274
592;24153
593;-1252
594;4188
595;-5998
596;-29651
597;-11333
598;-15700
599;8453
600;-29700
601;16264
602;25290
603;30510
604;-10093
605;10471
606;31519
607;25092
608;-17782
609;18602
610;-1185
611;-7911
612;20253
613;-304
