offset_addr_uint15_t;data_uint16_t
0;34457
1;20246
2;47839
3;35663
4;11601
5;10067
6;57200
7;22723
8;1275
9;51329
10;13726
11;46715
12;571
13;5095
14;65085
15;57243
16;55280
17;17073
18;33675
19;35800
20;58247
21;59799
22;6667
23;43336
24;33350
25;43621
26;36819
27;11870
28;33072
29;40473
30;59767
31;30363
32;27320
33;4740
34;34821
35;8596
36;35657
37;6629
38;42262
39;8606
40;56328
41;49655
42;35498
43;15327
44;27084
45;59113
46;48168
47;30041
48;36825
49;35699
50;51991
51;21982
52;11107
53;5525
54;50806
55;1015
56;65377
57;33483
58;10226
59;55001
60;36273
61;54470
62;4696
63;38893
64;53754
65;37670
66;30611
67;200
68;47944
69;12651
70;45173
71;24327
72;23747
73;45551
74;36519
75;35961
76;45959
77;30646
78;46465
79;6469
80;15042
81;33235
82;3133
83;43202
84;3238
85;11658
86;60130
87;39434
88;22242
89;33117
90;31743
91;876
92;11164
93;4849
94;64166
95;63892
96;19364
97;48162
98;44046
99;41173
100;50082
101;14444
102;24832
103;712
104;12575
105;14810
106;30574
107;35290
108;6728
109;17656
110;22451
111;18925
112;64237
113;59380
114;48951
115;27475
116;45359
117;50931
118;3066
119;47200
120;4516
121;26685
122;19187
123;36909
124;9932
125;30415
126;62344
127;23442
128;58468
129;47652
130;27614
131;23219
132;17233
133;12389
134;10695
135;55880
136;21947
137;14713
138;44003
139;40094
140;51388
141;39516
142;54863
143;15524
144;37721
145;53809
146;61748
147;24435
148;29778
149;37315
150;51525
151;43284
152;13840
153;27006
154;13718
155;8959
156;48655
157;12706
158;16297
159;35163
160;34909
161;37152
162;30949
163;23401
164;48459
165;1017
166;27948
167;6599
168;11066
169;37500
170;12001
171;102
172;30900
173;11726
174;63492
175;39570
176;46448
177;62296
178;13260
179;26080
180;32979
181;16185
182;22706
183;17216
184;34177
185;36998
186;6979
187;16369
188;32695
189;46584
190;27415
191;44197
192;21953
193;16982
194;4417
195;61234
196;28715
197;48557
198;12516
199;23863
200;23853
201;48924
202;50034
203;14436
204;55281
205;54203
206;40163
207;50083
208;47113
209;59498
210;2549
211;34008
212;15754
213;46090
214;42450
215;35032
216;63312
217;10055
218;35529
219;32088
220;13245
221;37323
222;50461
223;58086
224;28516
225;34212
226;39723
227;8970
228;31234
229;45770
230;27252
231;43317
232;32946
233;23354
234;7739
235;64830
236;60449
237;18647
238;14413
239;34886
240;18162
241;14806
242;6694
243;35369
244;3202
245;63930
246;18317
247;29285
248;43822
249;16661
250;36059
251;1947
252;63256
253;37738
254;16766
255;52137
256;2482
257;18073
258;33401
259;59475
260;55239
261;44264
262;28428
263;6310
264;30967
265;59461
266;53328
267;24839
268;59765
269;24178
270;3739
271;26494
272;21337
273;60589
274;59661
275;31783
276;632
277;33440
278;16364
279;46724
280;36576
281;19526
282;21770
283;27642
284;39856
285;30549
286;23050
287;8635
288;46132
289;42635
290;55198
291;41481
292;3098
293;34705
294;18368
295;45316
296;7735
297;35267
298;54854
299;12354
300;23314
301;6680
302;10782
303;44579
304;63530
305;46917
306;48532
307;21675
308;59823
309;38222
310;4388
311;34936
312;1195
313;9848
314;44458
315;30972
316;50733
317;40201
318;62203
319;28217
320;3082
321;61761
322;32345
323;16643
324;35841
325;21825
326;12401
327;29413
328;16575
329;43534
330;47019
331;56999
332;6538
333;54176
334;6643
335;46403
336;17524
337;36559
338;40657
339;55172
340;47823
341;23902
342;56662
343;11072
344;41338
345;56645
346;17537
347;59321
348;17153
349;42398
350;16467
351;7016
352;16427
353;62361
354;16262
355;18782
356;43056
357;65250
358;64927
359;52409
360;49828
361;48785
362;10935
363;42385
364;36853
365;53713
366;2550
367;11521
368;24537
369;3295
370;26503
371;38216
372;35057
373;26461
374;46054
375;39893
376;32864
377;35894
378;13734
379;7261
380;38866
381;39364
382;1729
383;30449
384;61943
385;3513
386;55383
387;27718
388;6652
389;22133
390;40898
391;47231
392;46285
393;3464
394;51347
395;13184
396;8837
397;8560
398;53853
399;36591
400;47475
401;35164
402;44882
403;10361
404;11590
405;1802
406;12570
407;6839
408;41127
409;41012
410;28060
411;49417
412;2588
413;47203
414;7578
415;16099
416;20132
417;40440
418;4074
419;5762
420;44638
421;65525
422;63725
423;16575
424;59127
425;37621
426;13683
427;14455
428;6809
429;55217
430;21855
431;59293
432;50912
433;48330
434;43729
435;54786
436;64577
437;15067
438;11172
439;15478
440;41455
441;4450
442;27722
443;52491
444;10883
445;44150
446;12146
447;44332
448;11402
449;2688
450;2339
451;12610
452;62948
453;25751
454;40934
455;65274
456;33795
457;28428
458;42732
459;27801
460;41651
461;17231
462;3597
463;35801
464;30874
465;2285
466;65201
467;9140
468;6457
469;1259
470;11450
471;35629
472;8020
473;60137
474;56533
475;8547
476;16112
477;959
478;51410
479;12388
480;21053
481;22594
482;30861
483;61681
484;15729
485;16488
486;34858
487;50306
488;48150
489;15055
490;53332
491;42839
492;18595
493;63641
494;65343
495;41714
496;34035
497;813
498;8737
499;30220
500;61021
501;18290
502;48991
503;2035
504;10904
505;53905
506;29944
507;34480
508;31326
509;5292
510;37638
511;56800
512;26389
513;35972
514;38562
515;34989
516;12884
517;40678
518;34165
519;31998
520;40418
521;11908
522;22914
523;8607
524;59578
525;12739
526;53710
527;62336
528;43519
529;35072
530;33765
531;35999
532;23556
533;37978
534;25779
535;30809
536;5149
537;47460
538;13079
539;49950
540;33096
541;34323
542;52747
543;54734
544;56156
545;4354
546;40145
547;11035
548;38862
549;65155
550;28152
551;54616
552;55294
553;36660
554;28661
555;63884
556;49512
557;7470
558;58499
559;3920
560;5059
561;59898
562;48263
563;21292
564;60253
565;47339
566;23211
567;20809
568;39012
569;9968
570;40280
571;62012
572;2248
573;34597
574;784
575;12370
576;58857
577;10543
578;11236
579;11030
580;63824
581;3431
582;6520
583;38474
584;34322
585;2084
586;14847
587;6226
588;55003
589;47371
590;50814
591;62731
592;24255
593;20423
594;18188
595;23884
596;64960
597;26739
598;23482
599;9528
600;4990
601;29495
602;54780
603;59738
604;28740
605;63561
606;37674
607;18788
608;12854
609;41160
610;12015
611;29365
612;13008
613;30901
614;15491
615;7858
616;48466
617;51232
618;55890
619;17175
620;59053
621;39512
622;27424
623;5865
624;15934
625;11584
626;6297
627;63276
628;494
629;59695
630;64888
631;54770
632;22283
633;57388
634;65149
635;43729
636;56048
637;58478
638;32236
639;59672
640;12144
641;38716
642;4620
643;54672
644;35091
645;21212
646;10588
647;4288
648;28707
649;65135
650;53976
651;7771
652;25828
653;3436
654;26506
655;63477
656;5944
657;33459
658;55850
659;21935
660;19552
661;64660
662;3023
663;20317
664;60530
665;11691
666;52637
667;56866
668;15261
669;2937
670;40322
671;25675
672;53541
673;14487
674;24214
675;31146
676;63149
677;42063
678;46804
679;5984
680;54478
681;59730
682;59341
683;50716
684;34
685;38100
686;16414
687;55837
688;14393
689;2891
690;29456
691;23509
692;29700
693;45335
694;48295
695;25320
696;55068
697;27472
698;9268
699;1139
700;40201
701;2269
702;21842
703;33800
704;37389
705;24758
706;27641
707;3528
708;32369
709;65502
710;42046
711;31398
712;28554
713;22970
714;46279
715;50248
716;53546
717;2788
718;6688
719;31528
720;28650
721;7945
722;41138
723;13092
724;57079
725;24050
726;18122
727;1043
728;64513
729;39275
730;6208
731;37867
732;34847
733;25039
734;4950
735;1841
736;43397
737;18233
738;21587
739;50079
740;29046
741;15329
742;8750
743;1378
744;40786
745;31836
746;60322
747;31067
748;12836
749;14481
750;58921
751;56471
752;25938
753;14631
754;50927
755;29624
756;64814
757;45650
758;57500
759;30788
760;48578
761;35202
762;4914
763;47097
764;55793
765;23497
766;55356
767;32679
768;36773
769;40010
770;23073
771;1437
772;62573
773;39846
774;1209
775;14766
776;38720
777;6301
778;45606
779;63728
780;28748
781;22057
782;38760
783;37113
784;37186
785;39531
786;59433
787;24928
788;47775
789;19782
790;36289
791;58042
792;16870
793;5053
794;58918
795;47996
796;58035
797;62816
798;58274
799;13763
800;50678
801;37168
802;28346
803;5628
804;44409
805;40124
806;12640
807;54457
808;9860
809;29125
810;60403
811;41407
812;13392
813;5804
814;9764
815;54420
816;42997
817;42188
818;9781
819;15193
820;711
821;60667
822;52178
823;13567
824;26328
825;62135
826;51246
827;45158
828;42572
829;25275
830;5259
831;25468
832;33467
833;46410
834;27277
835;6946
836;64887
837;50102
838;17703
839;63741
840;6406
841;48978
842;30820
843;61304
844;20046
845;11175
846;25763
847;59786
848;17894
849;25948
850;59745
851;14705
852;36219
853;50438
854;56988
855;57409
856;21994
857;17881
858;31548
859;33444
860;22804
861;40679
862;16748
863;53180
864;6557
865;11121
866;1330
867;41446
868;45670
869;39889
870;22810
871;53431
872;60231
873;32729
874;12710
875;39294
876;17007
877;33129
878;40677
879;8175
880;17166
881;63002
882;7256
883;4902
884;5440
885;12507
886;53223
887;22675
888;64240
889;14723
890;27533
891;39091
892;57726
893;63302
894;51869
895;40830
896;31274
897;36462
898;2301
899;4541
900;40011
901;47074
902;28453
903;38102
904;47251
905;36140
906;52857
907;51637
908;28634
909;42985
910;59252
911;31157
912;37962
913;64568
914;16191
915;55765
916;45277
917;29240
918;34230
919;56800
920;61198
921;63342
922;57466
923;61410
924;58996
925;39225
926;44594
927;59259
928;25009
929;64346
930;58905
931;52359
932;47066
933;17391
934;45890
935;4885
936;43012
937;8603
938;56048
939;43538
940;22622
941;63943
942;21070
943;40275
944;19993
945;28763
946;29203
947;30542
948;8827
949;26961
950;24674
951;35299
952;61697
953;8900
954;36841
955;45461
956;32467
957;15684
958;57963
959;2896
960;6519
961;37951
962;13895
963;61242
964;19998
965;49542
966;43923
967;48817
968;26905
969;6666
970;55065
971;14540
972;59037
973;58231
974;13842
975;31231
976;37008
977;24162
978;17453
979;38253
980;53462
981;7173
982;65259
983;48788
984;44042
985;33604
986;47125
987;60797
988;62434
989;1980
990;51663
991;50168
992;31393
993;26031
994;48062
995;58298
996;58052
997;61784
998;10381
999;21793
1000;46848
1001;13244
1002;10400
1003;49963
1004;39086
1005;6644
1006;56020
1007;13951
1008;34384
1009;17225
1010;10874
1011;57309
1012;59196
1013;24700
1014;60347
1015;52990
1016;4971
1017;38716
1018;41990
1019;30167
1020;25315
1021;43134
1022;48738
1023;28129
1024;23196
1025;6473
1026;10905
1027;38710
1028;30485
1029;27189
1030;39830
1031;5717
1032;21003
1033;42754
1034;763
1035;21157
1036;20162
1037;14834
1038;14671
1039;36658
1040;39944
1041;6312
1042;15694
1043;51578
1044;3568
1045;38208
1046;25719
1047;25479
1048;63179
1049;35637
1050;54077
1051;18752
1052;47610
1053;25677
1054;35474
1055;949
1056;51738
1057;41953
1058;10102
1059;50128
1060;43591
1061;6131
1062;9244
